source,title,link,summary,published,text,CVEs,Category
thehackernews.com,"GeoServer Exploits, PolarEdge, and Gayfemboy Push Cybercrime Beyond Traditional Botnets",https://thehackernews.com/2025/08/geoserver-exploits-polaredge-and.html,"Cybersecurity researchers are calling attention to multiple campaigns that leverage known security vulnerabilities and expose Redis servers to various malicious activities, including leveraging the compromised devices as IoT botnets, residential proxies, or cryptocurrency mining infrastructure.
The first set of attacks entails the exploitation of CVE-2024-36401 (CVSS score: 9.8), a critical",2025-08-23 07:38:00+00:00,"GeoServer Exploits, PolarEdge, and Gayfemboy Push Cybercrime Beyond Traditional Botnets Cybersecurity researchers are calling attention to multiple campaigns that leverage known security vulnerabilities and expose Redis servers to various malicious activities, including leveraging the compromised devices as IoT botnets, residential proxies, or cryptocurrency mining infrastructure.
The first set of attacks entails the exploitation of CVE-2024-36401 (CVSS score: 9.8), a critical",[],Vulnerability
thehackernews.com,Linux Malware Delivered via Malicious RAR Filenames Evades Antivirus Detection,https://thehackernews.com/2025/08/linux-malware-delivered-via-malicious.html,"Cybersecurity researchers have shed light on a novel attack chain that employs phishing emails to deliver an open-source backdoor called VShell.
The ""Linux-specific malware infection chain that starts with a spam email with a malicious RAR archive file,"" Trellix researcher Sagar Bade said in a technical write-up.
""The payload isn't hidden inside the file content or a macro, it's encoded directly",2025-08-22 14:31:00+00:00,"Linux Malware Delivered via Malicious RAR Filenames Evades Antivirus Detection Cybersecurity researchers have shed light on a novel attack chain that employs phishing emails to deliver an open-source backdoor called VShell.
The ""Linux-specific malware infection chain that starts with a spam email with a malicious RAR archive file,"" Trellix researcher Sagar Bade said in a technical write-up.
""The payload isn't hidden inside the file content or a macro, it's encoded directly",[],Malware
thehackernews.com,"Chinese Hackers Murky, Genesis, and Glacial Panda Escalate Cloud and Telecom Espionage",https://thehackernews.com/2025/08/chinese-hackers-murky-genesis-and.html,"Cybersecurity researchers are calling attention to malicious activity orchestrated by a China-nexus cyber espionage group known as Murky Panda that involves abusing trusted relationships in the cloud to breach enterprise networks.
""The adversary has also shown considerable ability to quickly weaponize N-day and zero-day vulnerabilities and frequently achieves initial access to their targets by",2025-08-22 11:06:00+00:00,"Chinese Hackers Murky, Genesis, and Glacial Panda Escalate Cloud and Telecom Espionage Cybersecurity researchers are calling attention to malicious activity orchestrated by a China-nexus cyber espionage group known as Murky Panda that involves abusing trusted relationships in the cloud to breach enterprise networks.
""The adversary has also shown considerable ability to quickly weaponize N-day and zero-day vulnerabilities and frequently achieves initial access to their targets by",[],Other
thehackernews.com,Automation Is Redefining Pentest Delivery,https://thehackernews.com/2025/08/automation-is-redefining-pentest.html,"Pentesting remains one of the most effective ways to identify real-world security weaknesses before adversaries do. But as the threat landscape has evolved, the way we deliver pentest results hasn't kept pace.
Most organizations still rely on traditional reporting methods—static PDFs, emailed documents, and spreadsheet-based tracking. The problem? These outdated workflows introduce delays,",2025-08-22 11:06:00+00:00,"Automation Is Redefining Pentest Delivery Pentesting remains one of the most effective ways to identify real-world security weaknesses before adversaries do. But as the threat landscape has evolved, the way we deliver pentest results hasn't kept pace.
Most organizations still rely on traditional reporting methods—static PDFs, emailed documents, and spreadsheet-based tracking. The problem? These outdated workflows introduce delays,",[],Other
thehackernews.com,"INTERPOL Arrests 1,209 Cybercriminals Across 18 African Nations in Global Crackdown",https://thehackernews.com/2025/08/interpol-arrests-1209-cybercriminals.html,"INTERPOL on Friday announced that authorities from 18 countries across Africa have arrested 1,209 cybercriminals who targeted 88,000 victims.
""The crackdown recovered $97.4 million and dismantled 11,432 malicious infrastructures, underscoring the global reach of cybercrime and the urgent need for cross-border cooperation,"" the agency said.
The effort is the second phase of an ongoing law",2025-08-22 11:05:00+00:00,"INTERPOL Arrests 1,209 Cybercriminals Across 18 African Nations in Global Crackdown INTERPOL on Friday announced that authorities from 18 countries across Africa have arrested 1,209 cybercriminals who targeted 88,000 victims.
""The crackdown recovered $97.4 million and dismantled 11,432 malicious infrastructures, underscoring the global reach of cybercrime and the urgent need for cross-border cooperation,"" the agency said.
The effort is the second phase of an ongoing law",[],Other
thehackernews.com,Ex-Developer Jailed Four Years for Sabotaging Ohio Employer with Kill-Switch Malware,https://thehackernews.com/2025/08/ex-developer-jailed-four-years-for.html,"A 55-year-old Chinese national has been sentenced to four years in prison and three years of supervised release for sabotaging his former employer's network with custom malware and deploying a kill switch that locked out employees when his account was disabled.
Davis Lu, 55, of Houston, Texas, was convicted of causing intentional damage to protected computers in March 2025. He was arrested and",2025-08-22 06:04:00+00:00,"Ex-Developer Jailed Four Years for Sabotaging Ohio Employer with Kill-Switch Malware A 55-year-old Chinese national has been sentenced to four years in prison and three years of supervised release for sabotaging his former employer's network with custom malware and deploying a kill switch that locked out employees when his account was disabled.
Davis Lu, 55, of Houston, Texas, was convicted of causing intentional damage to protected computers in March 2025. He was arrested and",[],Malware
thehackernews.com,Pre-Auth Exploit Chains Found in Commvault Could Enable Remote Code Execution Attacks,https://thehackernews.com/2025/08/pre-auth-exploit-chains-found-in.html,"Commvault has released updates to address four security gaps that could be exploited to achieve remote code execution on susceptible instances.
The list of vulnerabilities, identified in Commvault versions before 11.36.60, is as follows -

CVE-2025-57788 (CVSS score: 6.9) - A vulnerability in a known login mechanism allows unauthenticated attackers to execute API calls without requiring user",2025-08-21 16:38:00+00:00,"Pre-Auth Exploit Chains Found in Commvault Could Enable Remote Code Execution Attacks Commvault has released updates to address four security gaps that could be exploited to achieve remote code execution on susceptible instances.
The list of vulnerabilities, identified in Commvault versions before 11.36.60, is as follows -

CVE-2025-57788 (CVSS score: 6.9) - A vulnerability in a known login mechanism allows unauthenticated attackers to execute API calls without requiring user",[],Vulnerability
thehackernews.com,Cybercriminals Deploy CORNFLAKE.V3 Backdoor via ClickFix Tactic and Fake CAPTCHA Pages,https://thehackernews.com/2025/08/cybercriminals-deploy-cornflakev3.html,"Threat actors have been observed leveraging the deceptive social engineering tactic known as ClickFix to deploy a versatile backdoor codenamed CORNFLAKE.V3.
Google-owned Mandiant described the activity, which it tracks as UNC5518, as part of an access-as-a-service scheme that employs fake CAPTCHA pages as lures to trick users into providing initial access to their systems, which is then",2025-08-21 16:25:00+00:00,"Cybercriminals Deploy CORNFLAKE.V3 Backdoor via ClickFix Tactic and Fake CAPTCHA Pages Threat actors have been observed leveraging the deceptive social engineering tactic known as ClickFix to deploy a versatile backdoor codenamed CORNFLAKE.V3.
Google-owned Mandiant described the activity, which it tracks as UNC5518, as part of an access-as-a-service scheme that employs fake CAPTCHA pages as lures to trick users into providing initial access to their systems, which is then",[],Other
thehackernews.com,Weak Passwords and Compromised Accounts: Key Findings from the Blue Report 2025,https://thehackernews.com/2025/08/weak-passwords-and-compromised-accounts.html,"As security professionals, it's easy to get caught up in a race to counter the latest advanced adversary techniques. Yet the most impactful attacks often aren't from cutting-edge exploits, but from cracked credentials and compromised accounts. Despite widespread awareness of this threat vector, Picus Security's Blue Report 2025 shows that organizations continue to struggle with preventing",2025-08-21 10:50:00+00:00,"Weak Passwords and Compromised Accounts: Key Findings from the Blue Report 2025 As security professionals, it's easy to get caught up in a race to counter the latest advanced adversary techniques. Yet the most impactful attacks often aren't from cutting-edge exploits, but from cracked credentials and compromised accounts. Despite widespread awareness of this threat vector, Picus Security's Blue Report 2025 shows that organizations continue to struggle with preventing",[],Other
thehackernews.com,"Hackers Using New QuirkyLoader Malware to Spread Agent Tesla, AsyncRAT and Snake Keylogger",https://thehackernews.com/2025/08/hackers-using-new-quirkyloader-malware.html,"Cybersecurity researchers have disclosed details of a new malware loader called QuirkyLoader that's being used to deliver via email spam campaigns an array of next-stage payloads ranging from information stealers to remote access trojans since November 2024.
Some of the notable malware families distributed using QuirkyLoader include Agent Tesla, AsyncRAT, Formbook, Masslogger, Remcos RAT,",2025-08-21 10:41:00+00:00,"Hackers Using New QuirkyLoader Malware to Spread Agent Tesla, AsyncRAT and Snake Keylogger Cybersecurity researchers have disclosed details of a new malware loader called QuirkyLoader that's being used to deliver via email spam campaigns an array of next-stage payloads ranging from information stealers to remote access trojans since November 2024.
Some of the notable malware families distributed using QuirkyLoader include Agent Tesla, AsyncRAT, Formbook, Masslogger, Remcos RAT,",[],Malware
